task_id,entered_at,has_outline,input_tokens,output_tokens,empty_context,input_file_id,input_bytes,input_blob_path,output_file_id,output_bytes,output_blob_path,agent_output_blob_path
3d3b229e-0507-4539-8343-193a679d5f5c,2026-09-01T18:48:17.64,false,5387,7,true,fb6c41b7-fa7a-46b1-983a-0aff014b0280,4261457,d2572d0a-483c-46e8-9b7d-af353417aa37/3d3b229e-0507-4539-8343-193a679d5f5c/1788287470512_08.27_139_N-5.xlsx,7624272e-58d7-44b8-92ca-2e428dbbf4a9,4552738,d2572d0a-483c-46e8-9b7d-af353417aa37/3d3b229e-0507-4539-8343-193a679d5f5c/1788287249124_08.27_139_N-4.xlsx,data-compass/compass-3d3b229e-0507-4539-8343-193a679d5f5c-0ffc2c88-7343-43d8-baca-267f61cb05f4-child/18e3f534-06e8-47e6-8e26-17d4a16f7b44/action-modal-claude-agent-18e3f534-06e8-47e6-8e26-17d4a16f7b44-1788299829180/output.json
8a8066ff-7624-4fc5-981f-52a666b28967,2026-09-01T18:36:53.305,false,5390,5,true,6997575d-8b90-452f-9902-bef89d894926,4552738,d2572d0a-483c-46e8-9b7d-af353417aa37/8a8066ff-7624-4fc5-981f-52a666b28967/1788286939492_08.27_139_N-4.xlsx,bf01db37-7044-4696-9ae2-8e4f471fdea0,4725233,d2572d0a-483c-46e8-9b7d-af353417aa37/8a8066ff-7624-4fc5-981f-52a666b28967/1788286942769_08.27_139_N-3.xlsx,data-compass/compass-8a8066ff-7624-4fc5-981f-52a666b28967-d01e6df0-de6b-472e-9512-87b73a3e6155-child/e77d9574-ea57-4f0a-a7d9-eb917f09797d/action-modal-claude-agent-e77d9574-ea57-4f0a-a7d9-eb917f09797d-1788299828380/output.json
337252e6-80dc-4b36-b284-7b83b4e5617f,2026-09-01T18:24:43.503,false,5387,1,true,6eb957bb-5f84-4733-ad13-bac977ab0bcd,6570955,d2572d0a-483c-46e8-9b7d-af353417aa37/337252e6-80dc-4b36-b284-7b83b4e5617f/1788286532500_08.27_139_N-2.xlsx,4ac2325c-79da-4c29-a534-6b2bf1f5cc1c,7016651,d2572d0a-483c-46e8-9b7d-af353417aa37/337252e6-80dc-4b36-b284-7b83b4e5617f/1788286533129_08.27_139_N-1.xlsx,data-compass/compass-337252e6-80dc-4b36-b284-7b83b4e5617f-61717ac2-42ef-4a9b-b711-aafe79a90193-child/5a0fc7ce-3671-43af-94d9-ff7b7bf40abd/action-modal-claude-agent-5a0fc7ce-3671-43af-94d9-ff7b7bf40abd-1788299827984/output.json
7215fd35-f477-44af-b6f1-b38348ebe264,2026-09-01T18:24:35.355,false,5384,1,true,90b54495-c9e3-4c58-ab1a-ff083714990a,4725233,d2572d0a-483c-46e8-9b7d-af353417aa37/7215fd35-f477-44af-b6f1-b38348ebe264/1788286704405_08.27_139_N-3.xlsx,af070417-6c4f-43c7-b14f-c22a3a140dae,6570955,d2572d0a-483c-46e8-9b7d-af353417aa37/7215fd35-f477-44af-b6f1-b38348ebe264/1788286708577_08.27_139_N-2.xlsx,data-compass/compass-7215fd35-f477-44af-b6f1-b38348ebe264-1b324d9d-642d-471b-96b7-4d88dbcf7caa-child/d40f52c2-5298-4edc-b798-8bfa9a4ad077/action-modal-claude-agent-d40f52c2-5298-4edc-b798-8bfa9a4ad077-1788299828679/output.json
25613ef5-50aa-4ab2-b49a-4ea4b4dc519a,2026-09-01T13:26:45.137,false,5391,4,true,ba99ba0f-4fcd-4087-a1af-382385926045,415634,2a76641b-0722-4180-bbb8-69fce424cba9/25613ef5-50aa-4ab2-b49a-4ea4b4dc519a/1788269043888_08.30_48_N-6.xlsx,33ee2008-6b7f-4ed0-a512-9204f8868694,492585,2a76641b-0722-4180-bbb8-69fce424cba9/25613ef5-50aa-4ab2-b49a-4ea4b4dc519a/1788268518944_08.30_48_N-5.xlsx,data-compass/compass-25613ef5-50aa-4ab2-b49a-4ea4b4dc519a-b5ec32a2-d246-42cd-938f-b992b6548c88-child/a5b0354d-494e-4797-8990-343f89fae3ce/action-modal-claude-agent-a5b0354d-494e-4797-8990-343f89fae3ce-1788299826479/output.json
906892cf-1049-4c2d-99ef-404e461c776f,2026-09-01T10:40:28.594,false,5386,4,true,3ee02f0d-cff9-4e74-908e-1b3cdd1e712f,7784472,5be4adcc-7d49-40ab-b5e7-35669acd65fb/906892cf-1049-4c2d-99ef-404e461c776f/1788257718322_08.29_117_N-5.xlsx,4967bdde-e297-4ec3-8c84-8ad50ff0c5c3,7865990,5be4adcc-7d49-40ab-b5e7-35669acd65fb/906892cf-1049-4c2d-99ef-404e461c776f/1788257721182_08.29_117_N-4.xlsx,data-compass/compass-906892cf-1049-4c2d-99ef-404e461c776f-be70bc91-fa15-4206-a294-03949fdba7f2-child/a5b2301f-3698-4628-92f5-35efb9ad9562/action-modal-claude-agent-a5b2301f-3698-4628-92f5-35efb9ad9562-1788299826198/output.json
41fbe12c-7c20-463d-96e8-4ae8700d1c0d,2026-08-31T13:50:16.436,false,5382,5,true,fdcc36b8-dc48-4748-8e3a-08c0fd27db86,330323,2db5ebc3-d01b-459e-83ef-2a5edbf0728f/41fbe12c-7c20-463d-96e8-4ae8700d1c0d/1788184063406_049-N-1.xlsx,7983104a-5920-4978-9613-3fbaedaee4f4,479691,2db5ebc3-d01b-459e-83ef-2a5edbf0728f/41fbe12c-7c20-463d-96e8-4ae8700d1c0d/1788183382633_049-N-0.xlsx,data-compass/compass-41fbe12c-7c20-463d-96e8-4ae8700d1c0d-c0893de7-e566-4695-b8fe-feeb8ecca970-child/d62c1885-a686-45df-a470-6362d514fa31/action-modal-claude-agent-d62c1885-a686-45df-a470-6362d514fa31-1788186231294/output.json
4c77fbdb-8d12-4a84-b0db-a219bf7fe2a5,2026-08-31T13:22:00.744,false,5381,1,true,04054569-6065-43f9-89c5-0f5ea6ac7460,1480809,2db5ebc3-d01b-459e-83ef-2a5edbf0728f/4c77fbdb-8d12-4a84-b0db-a219bf7fe2a5/1788182220100_327-N-3.xlsx,84c8c49d-8b40-4827-9a94-f6108e2f567f,1857372,2db5ebc3-d01b-459e-83ef-2a5edbf0728f/4c77fbdb-8d12-4a84-b0db-a219bf7fe2a5/1788181984152_327-N-2.xlsx,data-compass/compass-4c77fbdb-8d12-4a84-b0db-a219bf7fe2a5-855e784a-83be-4340-a46f-7c511973bae5-child/20d253b8-35f2-4beb-b732-78c7a59da64c/action-modal-claude-agent-20d253b8-35f2-4beb-b732-78c7a59da64c-1788186242185/output.json
52b625ec-5004-49f2-a917-d3266b6879da,2026-08-31T12:08:53.592,false,5391,1,true,67ec8f08-4c35-4cdc-a6cb-16045959cff3,1614145,5be4adcc-7d49-40ab-b5e7-35669acd65fb/52b625ec-5004-49f2-a917-d3266b6879da/1788178040390_08.26_28_n-5.xlsx,ea6012da-8480-45cb-b37c-9ff81a9d355a,1728679,5be4adcc-7d49-40ab-b5e7-35669acd65fb/52b625ec-5004-49f2-a917-d3266b6879da/1788178043467_08.26_28_n-4.xlsx,data-compass/compass-52b625ec-5004-49f2-a917-d3266b6879da-bb424971-a0ae-437f-ac28-091dd3c29486-child/c3e71e12-21a8-4cfb-8522-0587f6330b62/action-modal-claude-agent-c3e71e12-21a8-4cfb-8522-0587f6330b62-1788178087221/output.json
9e36ea57-2343-44f3-b7ee-fb23fd186b55,2026-08-31T12:07:35.895,false,5389,7,true,fd0a9903-5674-45ec-8e64-6efff4b184a0,1728679,5be4adcc-7d49-40ab-b5e7-35669acd65fb/9e36ea57-2343-44f3-b7ee-fb23fd186b55/1788177945883_08.26_28_n-4.xlsx,8c2fb4b1-b574-4a95-bb11-8e68bab5791e,1757906,5be4adcc-7d49-40ab-b5e7-35669acd65fb/9e36ea57-2343-44f3-b7ee-fb23fd186b55/1788177951641_08.26_28_n-3.xlsx,data-compass/compass-9e36ea57-2343-44f3-b7ee-fb23fd186b55-85d0f6e7-9eaa-455c-af00-2abf4badb120-child/55d32b7d-53b5-4d39-a0f7-06622f0f4421/action-modal-claude-agent-55d32b7d-53b5-4d39-a0f7-06622f0f4421-1788178009171/output.json
